伝票日付,伝票区分,伝票区分名,委託区分,委託区分名,担当者コード,担当者名,得意先コード,得意先カナ,雑コード,送荷先コード,送荷先カナ,製品部品コード,製品部品カナ,級区分,数量,単価,金額,備考
20220914,10,　売上,0,,1161,湯本（１）,227010,ﾓﾁﾂﾞｷ ｼｽﾞｵｶ(ｴｲ),0,634219,JAﾊｲﾅﾝ ｾｲﾌﾞﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1231,竹内（１）,275110,ﾅｶﾞﾀｾｲｻｸｼﾖ,0,601170,ｶｻﾄﾉｳｷ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1361,福田（１）,275210,ﾅｶﾞﾀｾｲｻｸｼﾖ ｼｺｸ,0,602358,ｲｾｷﾁﾕｳｼｺｸ ｶｶﾞﾜ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,500,500, 
20220914,10,　売上,0,,1231,竹内（１）,285010,ﾐﾂﾋﾞｼﾉｳｷﾊﾝﾊﾞｲ ﾐﾊﾗ,0,285000, ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1531,立石（１）,404210,ﾀｶﾗｼﾕﾋﾞﾖｳ,0,404200, ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1531,立石（１）,406410,ﾊﾗﾀﾞｼﾖｳｶｲ,0,623878,ﾐﾂﾎﾞｼﾍﾞﾙﾄ ﾌｸｵｶ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1521,伊東・深田（１）,433110,ｼﾊﾞﾀ ｸﾏﾓﾄｼﾃﾝ,0,433208,JAｳｷ ﾏﾂﾊﾞｾﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1521,伊東・深田（１）,433110,ｼﾊﾞﾀ ｸﾏﾓﾄｼﾃﾝ,0,606134,JAｸﾏ ﾀﾞｲﾆﾉｳｷｻﾌﾞｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1511,野元（１）,459810,ﾐﾅﾐｷﾕｳｼﾕｳｵｷﾅﾜｸﾎﾞﾀ ﾐﾔｻﾞｷ,0,615944,ﾐﾅﾐｷﾕｳｼﾕｳｸﾎﾞﾀ ｼﾝﾄﾐ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1241,吉田（１）,230510,ｷﾖｳﾜﾓｸｻﾞｲｼﾖｳｼﾞ,0,603911,ﾋﾛｾｼﾖｳｶｲ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1241,吉田（１）,230510,ｷﾖｳﾜﾓｸｻﾞｲｼﾖｳｼﾞ,0,605456,JAｱｲﾁﾁﾕｳｵｳ ｻｸﾗｲﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,603215,ﾄﾖﾀﾞｷｼﾖｳ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,612709,JAｱｲﾁﾐﾅﾐ ﾀﾊﾗｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,2241,吉田（２）,237320,ｲｾｷｶﾝｻｲﾁﾕｳﾌﾞ ｼｶﾞ(ｱｲﾁ),0,625074,ｲｾｷｶﾝｻｲﾁﾕｳﾌﾞ ﾆｼﾐｶﾜｼﾃﾝ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1211,難波（１）,250210,ｵｵﾀｼﾕﾋﾞﾖｳ,0,250200, ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1211,難波（１）,250210,ｵｵﾀｼﾕﾋﾞﾖｳ,0,250201,ｵｵﾀｼﾕﾋﾞﾖｳ ﾅｶﾞﾊﾏ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1231,竹内（１）,275110,ﾅｶﾞﾀｾｲｻｸｼﾖ,0,620842,ﾆｼｻﾞｶﾉｳｷ ｾｲﾋﾞｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1131,柴原（１）,47010,ﾓﾁﾂﾞｷ ﾄｳﾎｸ (ｴｲ),0,652696,ﾀｶﾅﾐ ﾋﾛﾌﾐ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,600912,ｵｵｼﾏｼﾕﾋﾞﾖｳﾃﾝ ｱｻﾋﾃﾝ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,800289,JAｱｼｶｶﾞｻｰﾋﾞｽ SSｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1121,谷・井上（１）,138010,ﾔﾏﾄﾉｳｼﾞ ﾁﾊﾞｼﾞﾑｼﾖ,0,652694,JAｱｲﾂﾞﾖﾂﾊﾞﾐﾅﾐﾄｳﾌﾞｴｲﾉｳｾﾝﾀ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,900,900, 
20220914,10,　売上,0,,1101,生本（１）,141010,ﾔﾏｾﾞﾝ ｶﾃｲｷｷｴｲｷﾞﾖｳﾎﾝﾌﾞ,0,652508,ﾛｼﾞｽｶﾝﾄｳ ﾄｳｷﾖｳ3,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,639379,ｶﾄｳｹｲｼﾞﾛｳｼﾖｳﾃﾝ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1241,吉田（１）,234010,ﾄｳｶｲﾌﾞﾂｻﾝ,0,621943,ｽｽﾞｶﾉｳｷﾖｳ ｾｲﾋﾞｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,2561,川口（２）,445420,ｼﾝｷｶｲ,0,445400, ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,137034,ｼﾝｼﾝ ｶﾝﾀﾞﾂﾃﾝ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,601229,JAｶﾄﾘ ﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,624378,JAﾎｺﾀ ﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,1111,牧野・井上（１）,97010,ﾓﾁﾂﾞｷ ｶﾝﾄｳｴｲｷﾞﾖｳﾌﾞ,0,636801,JAﾅﾘﾀｼ ﾄﾖﾐﾉｳｷｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,700,700, 
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,647296,ﾑﾗｶﾐｹﾝｼﾞ,2625901,CLF-510(ｽﾏｰﾄｷﾔﾂﾁﾔｰ),1,-2,26600,-53200,*ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,647296,ﾑﾗｶﾐｹﾝｼﾞ,2625901,CLF-510(ｽﾏｰﾄｷﾔﾂﾁﾔｰ),1,2,28600,57200,*ﾀﾝｶﾃｲｾｲ
20220914,10,　売上,0,,4921,企画部,332040,ﾗｸﾃﾝ ﾐﾉﾙｾﾚｸｼﾖﾝ(ｴﾝｹﾞｲ),0,646463,ｶﾂﾉﾄﾓﾔ,2625701,CAZ-100L(ｱｻﾞﾐﾝ)10ｲﾘ,1,-2,7150,-14300,ﾀﾝｶﾃｲｾｲ
